rank,candidate_id,phase,signal_name,strategy_name,score,tick_pnl,max_drawdown_pct,win_rate_pct,profit_factor,max_consecutive_losing_signals,max_daily_loss,loss_count,worst_single_signal_loss,wins,losses,flats,generated_signals,tick_covered_signals,tick_coverage_pct,no_tick_signals,no_fill_signals,max_loss_signal,passes_dd25_gate,passes_dd40_gate,error
30,1fcd47d6136bc854,june,trend_pullback_quality_all,e7_s20_m180_tp3_hold,-2017.24,7200.83,15.85,36.69,1.202,11,2113.02,88,492.45,51,88,75,270,214,79.26,56,75,-492.45,False,False,
31,3c81792257bd0ba5,june,sd_return_quality_ny_core,e5_s23_m90_tp2_defensive,-4638.07,-1268.35,4.99,35.29,0.678,5,902.4,11,482.65,6,11,8,45,25,55.56,20,8,-482.65,False,False,
32,0b15eeb3481ec7bd,june,sd_return_quality_ny_core,e4_scaleout_low_dd,-4842.58,-1401.4,5.18,35.29,0.658,5,932.68,11,496.44,6,11,8,45,25,55.56,20,8,-496.44,False,False,
33,f522536bc97d6d1e,june,sd_return_quality_london_ny,e5_s23_m90_tp2_defensive,-5171.32,-1733.2,5.18,33.33,0.607,5,902.4,12,482.65,6,12,17,62,35,56.45,27,17,-482.65,False,False,
34,02a18f5bbb899949,june,sd_return_quality_london_ny,e4_scaleout_low_dd,-5406.82,-1897.24,5.48,33.33,0.587,5,932.68,12,496.44,6,12,17,62,35,56.45,27,17,-496.44,False,False,
35,e99c33303845711c,june,sd_return_quality_all,e5_s23_m90_tp2_defensive,-5644.25,-500.95,6.38,40.62,0.93,5,1806.35,19,488.0,13,19,18,83,50,60.24,33,18,-488.0,False,False,
36,7a55aa9cd817ff41,june,sd_return_quality_all,e4_scaleout_low_dd,-5815.92,-587.52,6.57,40.62,0.921,5,1845.56,19,497.76,13,19,18,83,50,60.24,33,18,-497.76,False,False,
37,8d4482347bb78ad1,june,sd_return_quality_ny_core,e6_s21_m150_bep,-7243.88,-1796.82,7.11,29.41,0.674,5,1870.74,12,497.16,5,12,8,45,25,55.56,20,8,-497.16,False,False,
38,7832acd18fc8b2f0,june,sd_return_quality_ny_core,e6_scaleout_bep,-7243.88,-1796.82,7.11,29.41,0.674,5,1870.74,12,497.16,5,12,8,45,25,55.56,20,8,-497.16,False,False,
39,ab1544cc9b6017ee,june,sd_return_quality_all,e6_s21_m120_tp2_fastlock,-7639.3,-2358.36,9.8,37.5,0.743,5,1815.48,20,497.16,12,20,18,83,50,60.24,33,18,-497.16,False,False,
40,a90cdcfea7176c01,june,sd_return_quality_london_ny,e6_s21_m150_bep,-7754.52,-2249.46,7.23,27.78,0.622,5,1870.74,13,497.16,5,13,17,62,35,56.45,27,17,-497.16,False,False,
