rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final
100,c100,1892.86,32319.960000000647,30427.1,1607.5,30.56,14.784707912013836,31870.860000000648,1865.9900000000634,149.69999999999993,64.57142857142857,90,2.1,6,0.5,240,12,0.75,true,TP3
101,c085,1892.86,27251.96000000069,25359.1,1339.7,30.56,17.974559252839217,26820.950000000656,1719.7400000000707,143.66999999999987,63.42857142857142,90,2.1,6,0.5,240,12,0.25,false,TP3
102,c102,1892.86,33619.44000000066,31726.58,1676.1,30.56,17.239508732451018,33159.36000000067,1980.6400000000576,153.35999999999996,63.42857142857142,90,2.1,6,0.5,240,24,0.5,false,TP3
103,c096,1892.86,9472.310000000762,7579.45,400.4,30.56,18.72579499543714,9092.360000000903,677.2800000000716,126.65000000000013,63.42857142857142,90,2.1,6,0.5,240,0,0.5,false,TP3
104,c124,1778.71,39403.34000000192,37624.63,2115.3,36.08,15.074165861891645,38820.80000000189,1796.5900000000038,194.18,61.71428571428571,90,1.7,6,0.5,240,12,0.25,false,TP3
105,c018,1778.71,14567.38000000205,12788.67,719.0,36.08,16.581994539671793,14069.32000000205,782.150000000016,166.0199999999999,61.71428571428571,90,1.7,6,0.5,240,0,0.75,false,TP3
106,c068,1778.71,44593.66000000197,42814.95,2407.1,36.08,15.109165134722065,43981.420000002,1997.0199999999968,204.08000000000007,61.71428571428571,90,1.7,6,0.5,240,24,0.25,false,TP3
107,c070,1747.9,22786.58333333199,21038.68,1203.7,31.69,19.196675836028664,22407.203333332043,1870.3199999998178,126.46000000000004,64.57142857142857,90,2.3,7,0.5,240,12,0.5,false,TP3
108,c122,1747.9,7338.643333332388,5590.74,319.9,31.69,19.445791735260375,7003.3933333324585,666.0199999997931,111.74999999999996,64.57142857142857,90,2.3,7,0.5,240,0,0.5,false,TP3
109,c034,1667.79,32715.95857142743,31048.17,1861.6,29.69,15.127374455173875,32309.038571427423,2884.0471428569,135.64000000000001,65.71428571428571,90,2.3,8,0.5,240,24,0.25,true,TP3
110,c131,1667.79,29090.368571427447,27422.58,1644.2,29.69,15.579358225489209,28697.758571427432,2538.407142856915,130.8699999999999,66.28571428571428,90,2.3,8,0.5,240,12,0.75,true,TP3
111,c110,1667.79,29883.73142857029,28215.94,1691.8,29.69,18.495090795760706,29476.991428570298,2730.42714285689,135.57999999999998,65.14285714285715,90,2.3,8,0.5,240,24,0.5,false,TP3
112,c093,981.47,39220.309999999125,38238.84,3896.1,32.86,15.111955008549701,38691.76999999913,2730.7628571426394,176.18000000000006,62.857142857142854,90,1.9,8,0.5,240,24,0.25,false,TP3
113,c042,981.47,12800.108571428114,11818.64,1204.2,32.86,16.124027268776008,12369.008571428149,1053.5585714283661,143.70000000000007,62.857142857142854,90,1.9,8,0.5,240,0,0.25,true,TP3
114,c045,457.33,43772.34142857355,43315.01,9471.3,38.6,14.171474784727431,43161.0314285735,2662.6771428571155,203.76999999999984,63.42857142857142,90,1.7,8,0.5,240,24,0.75,false,TP3
115,c055,457.33,43772.34142857355,43315.01,9471.3,38.6,14.171474784727431,43161.0314285735,2662.6771428571155,203.76999999999984,63.42857142857142,90,1.7,8,0.5,240,24,0.5,false,TP3
116,c067,426.98,29762.393333333734,29335.41,6870.4,33.26,15.498995947723612,29317.613333333808,2073.7566666666025,148.26,64.57142857142857,90,2.1,7,0.5,240,12,0.75,true,TP3
117,c146,426.98,34858.88000000043,34431.9,8064.1,33.26,14.373660119781354,34398.02000000047,2353.4166666665406,153.62,64.57142857142857,90,2.1,7,0.5,240,24,0.75,true,TP3
118,c112,251.14,27331.54857142926,27080.41,10783.0,31.9,16.702977683720572,26900.08857142928,2297.438571428458,143.82000000000008,64.0,90,2.1,8,0.5,240,12,0.75,false,TP3
119,c000,251.14,36407.41000000072,36156.27,14396.9,31.9,13.201138703712928,35943.340000000724,2785.2785714284255,154.6900000000002,64.57142857142857,90,2.1,8,0.5,240,24,0.5,true,TP3
120,c011,251.14,10212.167142858001,9961.03,3966.3,31.9,17.515849270298798,9836.657142858001,932.9085714284811,125.16999999999973,63.42857142857142,90,2.1,8,0.5,240,0,0.75,true,TP3
121,c072,251.14,27331.54857142926,27080.41,10783.0,31.9,16.702977683720572,26900.08857142928,2297.438571428458,143.82000000000008,64.0,90,2.1,8,0.5,240,12,0.25,false,TP3
122,c073,251.14,9779.80000000092,9528.66,3794.2,31.9,17.723919615293106,9400.300000000938,931.8485714284834,126.49999999999976,63.42857142857142,90,2.1,8,0.5,240,0,0.75,false,TP3
123,c148,163.46,5359.1642857146,5195.7,3178.6,30.48,20.75567400422421,5063.274285714591,782.1657142855911,98.63000000000002,65.14285714285715,90,2.5,8,0.5,240,0,0.5,false,TP3
