rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_bonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final,rr1,rr2,rr3,bb,rsi_buy,rsi_sell
100,c066,-12913.84,1670.7700000023906,14584.61,112.9,69.42,32.10525348808146,-542.1800000000699,2212.949999999998,1298.7100000004284,737.6500000000023,56.71034794396746,450,2.5,6,0.5,300,12,0.25,false,TP2,1.2,2.5,5,0.0006,70,30
101,c087,-13031.16,21444.167142845734,34475.33,264.6,118.76,48.505504618431274,17968.847142846153,3475.3200000000083,4313.705714283657,1158.439999999991,49.3006993006993,466,1.7,8,0.3,180,24,0.5,false,TP3,1,2.5,4,0.0004,75,25
102,c059,-13160.57,-30967.436666669513,-17806.87,-135.3,109.98,65.84862793499416,-32747.306666669097,1779.8699999999926,-5372.283333334097,593.2899999999966,50.36425449247207,427,1.7,7,0.5,180,0,0.25,false,TP3,1,2,4,0.0008,70,30
103,c164,-13186.42,30668.30333333087,43854.72,332.6,100.28,31.892488192283526,28252.253333331624,2416.049999999987,5141.839999997195,805.3499999999999,56.72382671480144,451,2.5,7,0.3,180,24,0.75,true,TP3,1,2.5,4,0.0006,70,30
104,c086,-13192.82,6515.069999993873,19707.89,149.4,73.64,42.430827010190505,3486.5099999930826,3028.5600000000054,1702.9299999987488,1009.5200000000026,53.4965034965035,466,1.9,6,0.7,240,12,0.5,false,TP2,1,2.5,4,0.0004,80,20
105,c002,-13311.4,-4351.519999998782,8959.88,67.3,97.96,46.31452525714993,-6168.289999998615,1816.7699999999822,-53.08333333300834,605.589999999991,56.42633228840125,455,2.5,7,0.7,240,12,0.5,false,TP3,1,2,3,0.0006,100,0
106,c009,-13472.56,-33058.20999999186,-19585.65,-145.4,92.02,68.41129824052531,-34574.07999999249,1515.8699999999822,-7189.759999999311,505.2900000000104,54.48861098704779,455,2.1,6,0.7,240,0,0.5,false,TP3,1,2,3,0.0006,100,0
107,c144,-13762.5,-1633.08000000201,12129.42,88.1,42.61,31.111096544376398,-3786.9300000039143,2153.8500000000085,295.51999999931286,717.9500000000039,59.19463087248322,454,2.5,6,0.3,300,24,0.5,false,TP2,0.8,1.5,3,0.0006,75,25
108,c157,-13824.42,3468.8700000015087,17293.29,125.1,102.4,41.80373387878322,1498.2299999995666,1970.639999999985,1187.3799999999537,656.8800000000095,55.08284818629646,456,2.5,6,0.5,240,12,0.5,false,TP3,1,2,4,0.0006,100,0
109,c091,-13921.69,-34425.36666667313,-20503.68,-147.3,57.76,70.82643330145856,-35978.94666667235,1553.5800000000238,-7544.176666669948,517.8599999999843,53.493975903614455,430,1.9,7,0.3,300,0,0.25,true,TP2,1,2,3,0.0008,80,20
110,c141,-14052.72,-6264.2099999992715,7788.51,55.4,43.18,34.57143246707501,-8259.120000000145,1994.909999999984,62.00333333178423,664.9699999999942,59.239373601789715,454,2.5,7,0.5,300,24,0.5,true,TP2,0.8,1.5,3,0.0006,75,25
111,c118,-14098.67,9734.423333321538,23833.09,169.0,70.78,45.19115729960427,7107.773333322404,2626.649999999994,3260.2133333293386,875.5499999999959,52.341863833896674,429,1.9,7,0.3,240,24,0.75,true,TP2,1,2.5,4,0.0008,75,25
112,c011,-14163.62,-34428.056666671255,-20264.44,-143.1,61.34,70.7189248945314,-35961.41666667038,1533.3600000000308,-7383.433333335022,511.11999999998,53.92771084337349,430,1.9,7,0.7,300,0,0.25,true,TP2,1,2,3,0.0008,80,20
113,c049,-14173.1,17646.550000000236,31819.65,224.5,89.27,35.003099332954086,14200.44999999933,3446.0999999999995,3196.42999999968,1148.7000000000057,52.43843553838725,429,1.7,6,0.7,300,12,0.25,true,TP3,1,2,3,0.0008,75,25
114,c169,-14199.57,11519.780000000726,25719.35,181.1,74.07,35.63584829583512,8972.17999999976,2547.5999999999926,3434.420000000129,849.1999999999994,54.26008968609865,455,2.3,6,0.3,300,24,0.75,false,TP2,1.2,2.5,5,0.0006,80,20
115,c154,-14203.5,474.1999999916661,14677.7,103.3,57.66,39.0765716625663,-2245.5100000100415,2719.709999999995,1873.779999997867,906.5700000000007,53.74215354901014,430,1.9,6,0.5,300,24,0.75,false,TP2,1,2,4,0.0008,80,20
116,c020,-14244.47,10206.44000000086,24450.91,171.7,114.89,37.705068998050834,6698.509999999531,3507.9299999999907,2268.090000000331,1169.3100000000038,50.36460865337871,425,1.5,6,0.5,240,12,0.25,true,TP3,1,2,4,0.0008,70,30
117,c051,-14347.72,-30985.130000001223,-16637.41,-116.0,114.46,65.7793282277521,-32814.80000000259,1829.670000000005,-4535.700000001314,609.8900000000015,50.72324011571842,430,1.7,6,0.5,180,0,0.75,false,TP3,1,2,4,0.0008,75,25
118,c078,-14431.6,30155.97714286267,44587.58,309.0,137.87,44.72005914521674,25540.087142862594,4615.89000000004,6237.71428571357,1538.630000000001,47.072072072072075,450,1.5,8,0.7,300,24,0.25,true,TP3,1.2,2.5,5,0.0006,70,30
119,c062,-14463.21,-30065.590000006832,-15602.38,-107.9,94.12,62.38255522666136,-31927.120000006405,1861.529999999991,-6240.350000002996,620.5099999999961,53.64354697102721,462,1.9,7,0.5,180,0,0.75,false,TP3,1,2,3,0.0004,70,30
120,c183,-14642.33,22597.736666663142,37240.07,254.3,118.21,34.25183105141142,18807.506666663558,3790.229999999985,3225.7233333335753,1263.4100000000021,52.551477170993735,456,1.7,7,0.7,180,12,0.25,true,TP3,1,2,4,0.0006,80,20
121,c036,-14746.64,-10274.12428571251,4472.52,30.3,58.36,42.80566597479042,-12244.134285711856,1970.0100000000466,-2008.2171428590955,656.6700000000006,56.61896243291592,455,2.3,8,0.5,240,12,0.25,false,TP2,1,2,4,0.0006,100,0
122,c110,-14924.62,25267.50999999451,40192.13,269.3,138.88,47.664022979637174,20708.16999999366,4559.34,2941.8199999996577,1519.7800000000034,50.0,465,1.5,6,0.3,180,12,0.25,true,TP3,1.2,2.5,5,0.0004,75,25
123,c188,-15288.63,-29789.19285714857,-14500.56,-94.8,70.98,63.233458443971344,-31383.692857148548,1594.5000000000337,-7446.82142857468,531.500000000005,52.06730769230769,430,1.9,8,0.5,240,0,0.25,false,TP2,1.2,2.5,5,0.0008,100,0
124,c075,-15451.37,-29796.25857142546,-14344.89,-92.8,78.23,62.86891621330817,-31355.868571425446,1559.6100000000324,-8700.661428570907,519.8700000000075,53.70866845397676,455,2.1,8,0.3,240,0,0.5,false,TP2,1.2,2.5,5,0.0006,80,20
125,c119,-15454.88,-35215.906666670184,-19761.03,-127.9,92.61,72.55832213608349,-36808.21666666945,1592.310000000031,-7138.130000001307,530.7699999999847,50.65060240963856,430,1.7,7,0.3,240,0,0.5,false,TP3,0.8,1.5,3,0.0008,80,20
126,c005,-15670.19,-1551.3699999987293,14118.82,90.1,98.05,41.06975581728594,-3289.420000000385,1738.0499999999986,219.02999999991152,579.35000000001,55.74488802336903,426,2.5,6,0.5,180,12,0.75,false,TP3,1,2.5,4,0.0008,70,30
127,c073,-15747.11,-1444.2171428545043,14302.89,90.8,52.32,39.43109083275292,-3460.8171428545643,2016.6000000000513,2105.0028571409275,672.1999999999952,56.35572740454325,429,2.3,8,0.5,300,24,0.75,false,TP2,1,2,4,0.0008,75,25
128,c109,-15880.25,-626.5685714213323,15253.68,96.1,59.51,35.87391050161901,-2852.5385714216745,2225.970000000043,751.3657142870215,741.9899999999947,56.627592425608654,450,2.3,8,0.7,180,24,0.75,true,TP2,1,2,3,0.0006,70,30
129,c161,-15977.59,9802.970000005189,25780.56,161.4,74.02,36.487441185923444,7274.810000003441,2528.1599999999994,3020.0800000012387,842.7200000000012,54.43548387096774,455,2.3,6,0.5,300,24,0.5,true,TP2,1.2,2.5,5,0.0006,100,0
130,c064,-16084.99,28501.839999997115,44586.83,277.2,131.64,49.47241354256167,25084.8099999954,3417.030000000001,3700.159999999618,1139.0100000000057,46.161274746499274,429,1.5,6,0.3,180,24,0.5,false,TP3,1.2,2.5,5,0.0008,75,25
131,c115,-16255.23,-177.2399999879417,16077.99,98.9,54.62,41.579679186350546,-2532.179999988934,2354.9400000000146,1742.6600000006947,784.9800000000047,55.775737071048816,430,2.1,6,0.7,300,24,0.5,true,TP2,1,2,3,0.0008,80,20
132,c192,-16384.24,-33538.131428570894,-17153.89,-104.7,47.29,68.59129511700539,-34742.75142857141,1204.6200000000213,-13032.842857145253,401.54000000001037,59.53550692273336,455,2.5,8,0.5,180,0,0.5,false,TP2,0.8,1.5,3,0.0006,80,20
133,c125,-16413.64,-5901.970000004061,10511.67,64.0,87.26,43.587842202915425,-8917.750000005191,3015.780000000009,994.8399999984613,1005.2599999999989,50.15787099684258,450,1.7,6,0.5,300,12,0.5,false,TP3,0.8,1.5,3,0.0006,70,30
134,c043,-16443.36,-8689.42000000699,7753.94,47.2,49.73,38.45073716950583,-11211.430000008693,2522.010000000002,-217.11000000189233,840.6700000000011,55.10597302504817,430,1.9,6,0.5,240,24,0.5,false,TP2,0.8,1.5,3,0.0008,80,20
135,c084,-16515.15,-4437.550000004514,12077.6,73.1,71.51,36.874200443428286,-7856.23000000592,3418.68,613.3299999985684,1139.5600000000027,52.35807860262008,466,1.7,6,0.5,300,12,0.5,false,TP2,1,2,3,0.0004,100,0
136,c124,-16616.67,684.5899999858957,17301.26,104.1,65.38,40.09360194810786,-2253.340000015419,2937.9300000000144,1601.6999999966356,979.3100000000018,52.214765100671144,455,1.9,6,0.3,300,12,0.5,true,TP2,1.2,2.5,5,0.0006,100,0
137,c139,-16722.47,-345.24666665780387,16377.22,97.9,60.42,38.56306274702528,-2819.3766666564834,2474.1299999999874,1091.803333335345,824.7099999999929,54.87364620938629,450,2.1,7,0.7,180,24,0.25,false,TP2,1,2,4,0.0006,70,30
138,c102,-16812.76,45097.106666648964,61909.87,368.2,100.87,35.77038907071568,41163.77666665025,3933.3300000000013,5637.3199999957,1311.1099999999972,53.60734586794928,465,1.9,7,0.3,180,24,0.5,true,TP3,1,2,3,0.0004,75,25
139,c089,-16877.8,-573.5199999959223,16304.28,96.6,53.75,38.355170791377134,-2690.139999997594,2116.62,1637.2400000009293,705.5400000000004,56.04448742746615,430,2.3,6,0.5,300,24,0.25,false,TP2,1,2,3,0.0008,80,20
140,c175,-16974.92,-35635.88666666891,-18660.97,-109.9,74.67,73.31511123897653,-37565.66666666798,1929.7800000000186,-7459.063333333288,643.2600000000074,52.13600697471665,466,1.7,7,0.7,240,0,0.25,false,TP2,1,2,4,0.0004,80,20
141,c081,-17259.09,-30734.290000000037,-13475.2,-78.1,106.82,63.41614853151062,-32032.390000000603,1298.0999999999808,-7247.650000000176,432.70000000000977,55.137481910274964,432,2.3,6,0.3,180,0,0.75,false,TP3,1,2.5,4,0.0008,75,25
142,c071,-17499.61,-10092.21666666687,7407.39,42.3,43.43,39.32095780339781,-12007.146666665236,1914.9299999999855,-449.4633333366146,638.3099999999962,58.14850530376084,430,2.3,7,0.3,300,24,0.75,false,TP2,0.8,1.5,3,0.0008,80,20
143,c126,-17624.04,24508.739999993268,42132.78,239.1,98.71,35.00845270548831,20313.749999992684,4194.989999999991,3240.959999998464,1398.3300000000027,52.578671328671334,466,1.7,6,0.5,240,12,0.5,true,TP3,1,2,3,0.0004,80,20
